farm_id,farmer_id,survey_number,gat_number,farm_area_hectare,village_id,geojson,soil_type,irrigation_type
699,352,560/2,GAT-699,8.55,223,"{""type"":""Polygon""}",Clay,Drip
700,353,605/4,GAT-700,2.83,440,"{""type"":""Polygon""}",Red Soil,Canal
701,354,496/5,GAT-701,5.72,48,"{""type"":""Polygon""}",Black Soil,Rainfed
702,354,114/1,GAT-702,2.4,48,"{""type"":""Polygon""}",Clay,Drip
703,355,167/4,GAT-703,9.87,65,"{""type"":""Polygon""}",Black Soil,Drip
704,355,820/5,GAT-704,5.15,65,"{""type"":""Polygon""}",Black Soil,Rainfed
705,356,100/5,GAT-705,7.3,29,"{""type"":""Polygon""}",Black Soil,Rainfed
706,356,965/5,GAT-706,3.28,29,"{""type"":""Polygon""}",Red Soil,Rainfed
707,356,330/5,GAT-707,3.52,29,"{""type"":""Polygon""}",Black Soil,Drip
708,357,874/5,GAT-708,5.71,12,"{""type"":""Polygon""}",Clay,Canal
709,358,771/4,GAT-709,3.8,238,"{""type"":""Polygon""}",Clay,Canal
710,359,745/3,GAT-710,0.82,102,"{""type"":""Polygon""}",Clay,Drip
711,360,721/5,GAT-711,2.32,185,"{""type"":""Polygon""}",Black Soil,Drip
712,361,882/1,GAT-712,1.0,201,"{""type"":""Polygon""}",Clay,Rainfed
713,361,697/1,GAT-713,7.42,201,"{""type"":""Polygon""}",Black Soil,Drip
714,361,661/1,GAT-714,6.45,201,"{""type"":""Polygon""}",Clay,Drip
715,362,749/1,GAT-715,0.62,120,"{""type"":""Polygon""}",Black Soil,Drip
716,362,49/4,GAT-716,1.0,120,"{""type"":""Polygon""}",Black Soil,Drip
717,362,836/5,GAT-717,1.49,120,"{""type"":""Polygon""}",Clay,Canal
718,363,728/1,GAT-718,1.73,85,"{""type"":""Polygon""}",Black Soil,Rainfed
719,364,273/4,GAT-719,1.86,321,"{""type"":""Polygon""}",Black Soil,Rainfed
720,364,702/1,GAT-720,7.93,321,"{""type"":""Polygon""}",Clay,Rainfed
721,364,443/5,GAT-721,9.76,321,"{""type"":""Polygon""}",Red Soil,Drip
722,365,560/5,GAT-722,3.68,272,"{""type"":""Polygon""}",Clay,Rainfed
723,365,246/1,GAT-723,4.14,272,"{""type"":""Polygon""}",Clay,Canal
724,366,172/1,GAT-724,7.14,281,"{""type"":""Polygon""}",Red Soil,Canal
725,366,486/2,GAT-725,9.84,281,"{""type"":""Polygon""}",Clay,Drip
726,367,933/1,GAT-726,1.83,225,"{""type"":""Polygon""}",Clay,Drip
727,367,968/3,GAT-727,7.8,225,"{""type"":""Polygon""}",Clay,Rainfed
728,367,292/1,GAT-728,6.9,225,"{""type"":""Polygon""}",Black Soil,Rainfed
729,368,192/4,GAT-729,5.27,262,"{""type"":""Polygon""}",Black Soil,Rainfed
730,369,938/3,GAT-730,9.18,265,"{""type"":""Polygon""}",Black Soil,Drip
731,369,598/1,GAT-731,4.54,265,"{""type"":""Polygon""}",Black Soil,Rainfed
732,369,415/5,GAT-732,8.41,265,"{""type"":""Polygon""}",Clay,Drip
733,370,26/5,GAT-733,7.17,353,"{""type"":""Polygon""}",Red Soil,Rainfed
734,371,479/3,GAT-734,7.57,257,"{""type"":""Polygon""}",Black Soil,Drip
735,371,503/1,GAT-735,2.41,257,"{""type"":""Polygon""}",Red Soil,Drip
736,371,653/4,GAT-736,4.7,257,"{""type"":""Polygon""}",Black Soil,Canal
737,372,312/1,GAT-737,9.78,213,"{""type"":""Polygon""}",Clay,Canal
738,372,560/1,GAT-738,8.99,213,"{""type"":""Polygon""}",Clay,Drip
739,372,660/4,GAT-739,7.86,213,"{""type"":""Polygon""}",Black Soil,Canal
740,373,143/5,GAT-740,2.63,195,"{""type"":""Polygon""}",Clay,Drip
741,373,309/2,GAT-741,2.56,195,"{""type"":""Polygon""}",Clay,Rainfed
742,373,710/4,GAT-742,3.69,195,"{""type"":""Polygon""}",Red Soil,Drip
743,374,167/1,GAT-743,7.47,246,"{""type"":""Polygon""}",Red Soil,Canal
744,374,589/4,GAT-744,3.74,246,"{""type"":""Polygon""}",Clay,Drip
745,374,477/4,GAT-745,4.45,246,"{""type"":""Polygon""}",Red Soil,Drip
746,375,831/2,GAT-746,3.34,459,"{""type"":""Polygon""}",Red Soil,Canal
747,376,937/4,GAT-747,5.12,463,"{""type"":""Polygon""}",Black Soil,Drip
748,376,415/2,GAT-748,0.82,463,"{""type"":""Polygon""}",Red Soil,Canal
749,376,265/4,GAT-749,6.93,463,"{""type"":""Polygon""}",Red Soil,Drip
750,377,70/2,GAT-750,8.43,353,"{""type"":""Polygon""}",Clay,Canal
751,377,540/3,GAT-751,7.43,353,"{""type"":""Polygon""}",Black Soil,Rainfed
752,378,440/1,GAT-752,5.02,135,"{""type"":""Polygon""}",Red Soil,Canal
753,379,549/2,GAT-753,6.17,294,"{""type"":""Polygon""}",Clay,Rainfed
754,379,440/1,GAT-754,7.99,294,"{""type"":""Polygon""}",Black Soil,Rainfed
755,379,711/1,GAT-755,3.03,294,"{""type"":""Polygon""}",Red Soil,Canal
756,380,482/2,GAT-756,2.53,440,"{""type"":""Polygon""}",Red Soil,Rainfed
757,380,200/1,GAT-757,9.96,440,"{""type"":""Polygon""}",Red Soil,Drip
758,380,672/5,GAT-758,3.26,440,"{""type"":""Polygon""}",Clay,Drip
759,381,348/4,GAT-759,3.41,77,"{""type"":""Polygon""}",Clay,Drip
760,381,699/5,GAT-760,6.75,77,"{""type"":""Polygon""}",Red Soil,Canal
761,381,589/1,GAT-761,6.32,77,"{""type"":""Polygon""}",Clay,Drip
762,382,26/3,GAT-762,4.81,213,"{""type"":""Polygon""}",Clay,Rainfed
763,382,990/1,GAT-763,4.83,213,"{""type"":""Polygon""}",Black Soil,Rainfed
764,383,207/5,GAT-764,4.81,45,"{""type"":""Polygon""}",Black Soil,Drip
765,383,497/1,GAT-765,0.94,45,"{""type"":""Polygon""}",Red Soil,Drip
766,384,994/2,GAT-766,2.38,193,"{""type"":""Polygon""}",Black Soil,Rainfed
767,384,362/4,GAT-767,6.19,193,"{""type"":""Polygon""}",Black Soil,Canal
768,384,162/1,GAT-768,5.62,193,"{""type"":""Polygon""}",Red Soil,Drip
769,385,234/1,GAT-769,9.88,447,"{""type"":""Polygon""}",Clay,Drip
770,385,18/2,GAT-770,1.42,447,"{""type"":""Polygon""}",Red Soil,Drip
771,385,687/2,GAT-771,3.36,447,"{""type"":""Polygon""}",Black Soil,Canal
772,386,195/5,GAT-772,3.96,42,"{""type"":""Polygon""}",Black Soil,Rainfed
773,386,189/3,GAT-773,9.48,42,"{""type"":""Polygon""}",Black Soil,Canal
774,386,718/1,GAT-774,2.94,42,"{""type"":""Polygon""}",Clay,Drip
775,387,941/4,GAT-775,8.4,50,"{""type"":""Polygon""}",Red Soil,Rainfed
776,388,569/1,GAT-776,3.08,110,"{""type"":""Polygon""}",Black Soil,Canal
777,388,616/4,GAT-777,7.67,110,"{""type"":""Polygon""}",Black Soil,Rainfed
778,388,776/5,GAT-778,7.66,110,"{""type"":""Polygon""}",Black Soil,Rainfed
779,389,495/4,GAT-779,9.2,401,"{""type"":""Polygon""}",Clay,Drip
780,389,652/2,GAT-780,0.63,401,"{""type"":""Polygon""}",Black Soil,Rainfed
781,390,773/5,GAT-781,4.48,257,"{""type"":""Polygon""}",Clay,Canal
782,391,662/3,GAT-782,6.47,355,"{""type"":""Polygon""}",Red Soil,Canal
783,391,891/5,GAT-783,5.65,355,"{""type"":""Polygon""}",Black Soil,Drip
784,392,749/3,GAT-784,5.91,330,"{""type"":""Polygon""}",Black Soil,Canal
785,392,57/1,GAT-785,4.57,330,"{""type"":""Polygon""}",Red Soil,Canal
786,393,683/5,GAT-786,4.69,61,"{""type"":""Polygon""}",Clay,Canal
787,393,698/4,GAT-787,3.62,61,"{""type"":""Polygon""}",Black Soil,Rainfed
788,394,890/5,GAT-788,4.88,28,"{""type"":""Polygon""}",Clay,Drip
789,394,225/4,GAT-789,7.33,28,"{""type"":""Polygon""}",Clay,Rainfed
790,394,405/3,GAT-790,3.31,28,"{""type"":""Polygon""}",Clay,Rainfed
791,395,950/5,GAT-791,2.57,327,"{""type"":""Polygon""}",Clay,Drip
792,396,685/2,GAT-792,8.41,418,"{""type"":""Polygon""}",Clay,Drip
793,397,164/4,GAT-793,2.92,245,"{""type"":""Polygon""}",Clay,Canal
794,398,330/3,GAT-794,6.56,436,"{""type"":""Polygon""}",Red Soil,Rainfed
795,399,641/2,GAT-795,9.01,308,"{""type"":""Polygon""}",Red Soil,Canal
796,400,816/2,GAT-796,9.48,176,"{""type"":""Polygon""}",Black Soil,Canal
797,400,955/1,GAT-797,4.3,176,"{""type"":""Polygon""}",Black Soil,Drip
798,401,465/2,GAT-798,2.13,331,"{""type"":""Polygon""}",Black Soil,Canal
799,402,248/5,GAT-799,0.67,134,"{""type"":""Polygon""}",Clay,Drip
800,402,609/5,GAT-800,3.98,134,"{""type"":""Polygon""}",Red Soil,Drip
801,403,104/2,GAT-801,9.63,465,"{""type"":""Polygon""}",Clay,Canal
802,404,896/2,GAT-802,3.27,129,"{""type"":""Polygon""}",Red Soil,Rainfed
803,404,997/2,GAT-803,8.09,129,"{""type"":""Polygon""}",Red Soil,Rainfed
804,404,730/3,GAT-804,1.06,129,"{""type"":""Polygon""}",Black Soil,Canal
805,405,705/1,GAT-805,6.4,83,"{""type"":""Polygon""}",Clay,Rainfed
806,405,582/1,GAT-806,9.56,83,"{""type"":""Polygon""}",Red Soil,Rainfed
807,405,666/2,GAT-807,1.03,83,"{""type"":""Polygon""}",Red Soil,Drip
808,406,973/4,GAT-808,7.53,323,"{""type"":""Polygon""}",Clay,Drip
809,406,708/1,GAT-809,1.02,323,"{""type"":""Polygon""}",Red Soil,Drip
810,407,60/1,GAT-810,4.49,51,"{""type"":""Polygon""}",Clay,Rainfed
811,407,750/4,GAT-811,7.15,51,"{""type"":""Polygon""}",Black Soil,Rainfed
812,407,84/1,GAT-812,4.47,51,"{""type"":""Polygon""}",Clay,Rainfed
813,408,221/2,GAT-813,0.65,350,"{""type"":""Polygon""}",Black Soil,Rainfed
814,408,816/4,GAT-814,9.51,350,"{""type"":""Polygon""}",Clay,Rainfed
815,408,180/3,GAT-815,4.39,350,"{""type"":""Polygon""}",Red Soil,Canal
816,409,830/1,GAT-816,6.16,335,"{""type"":""Polygon""}",Red Soil,Rainfed
817,409,789/5,GAT-817,7.48,335,"{""type"":""Polygon""}",Red Soil,Drip
818,409,117/4,GAT-818,7.99,335,"{""type"":""Polygon""}",Clay,Canal
819,410,536/2,GAT-819,6.59,101,"{""type"":""Polygon""}",Red Soil,Rainfed
820,410,761/5,GAT-820,2.01,101,"{""type"":""Polygon""}",Black Soil,Rainfed
821,410,660/4,GAT-821,0.94,101,"{""type"":""Polygon""}",Black Soil,Drip
822,411,454/5,GAT-822,8.4,351,"{""type"":""Polygon""}",Red Soil,Canal
823,411,737/5,GAT-823,1.35,351,"{""type"":""Polygon""}",Black Soil,Drip
824,412,234/2,GAT-824,8.79,456,"{""type"":""Polygon""}",Black Soil,Rainfed
825,412,293/5,GAT-825,5.16,456,"{""type"":""Polygon""}",Black Soil,Rainfed
826,413,317/3,GAT-826,4.86,241,"{""type"":""Polygon""}",Red Soil,Canal
827,414,315/3,GAT-827,6.82,189,"{""type"":""Polygon""}",Clay,Canal
828,414,613/2,GAT-828,3.13,189,"{""type"":""Polygon""}",Red Soil,Drip
829,415,195/5,GAT-829,3.54,169,"{""type"":""Polygon""}",Black Soil,Drip
830,415,550/1,GAT-830,2.32,169,"{""type"":""Polygon""}",Clay,Canal
831,416,60/3,GAT-831,8.42,189,"{""type"":""Polygon""}",Red Soil,Rainfed
832,417,266/2,GAT-832,4.1,256,"{""type"":""Polygon""}",Black Soil,Rainfed
833,418,457/3,GAT-833,2.52,198,"{""type"":""Polygon""}",Clay,Drip
834,419,872/4,GAT-834,4.05,395,"{""type"":""Polygon""}",Red Soil,Rainfed
835,419,27/1,GAT-835,2.81,395,"{""type"":""Polygon""}",Black Soil,Rainfed
836,420,943/5,GAT-836,9.53,235,"{""type"":""Polygon""}",Red Soil,Drip
837,421,231/5,GAT-837,7.17,323,"{""type"":""Polygon""}",Red Soil,Rainfed
838,421,270/5,GAT-838,9.51,323,"{""type"":""Polygon""}",Red Soil,Rainfed
839,422,502/4,GAT-839,7.26,476,"{""type"":""Polygon""}",Red Soil,Drip
840,422,591/3,GAT-840,3.34,476,"{""type"":""Polygon""}",Black Soil,Drip
841,423,995/2,GAT-841,6.11,442,"{""type"":""Polygon""}",Black Soil,Rainfed
842,424,72/5,GAT-842,6.8,97,"{""type"":""Polygon""}",Clay,Canal
843,425,73/2,GAT-843,9.84,151,"{""type"":""Polygon""}",Clay,Drip
844,425,977/3,GAT-844,4.12,151,"{""type"":""Polygon""}",Clay,Rainfed
845,426,697/3,GAT-845,8.29,33,"{""type"":""Polygon""}",Red Soil,Rainfed
846,426,936/3,GAT-846,8.01,33,"{""type"":""Polygon""}",Clay,Canal
847,426,779/4,GAT-847,1.88,33,"{""type"":""Polygon""}",Black Soil,Canal
848,427,973/1,GAT-848,6.47,284,"{""type"":""Polygon""}",Red Soil,Drip
849,427,188/2,GAT-849,6.15,284,"{""type"":""Polygon""}",Clay,Drip
850,427,736/2,GAT-850,4.28,284,"{""type"":""Polygon""}",Black Soil,Drip
851,428,591/5,GAT-851,7.3,260,"{""type"":""Polygon""}",Black Soil,Canal
852,428,371/2,GAT-852,8.77,260,"{""type"":""Polygon""}",Black Soil,Canal
853,428,150/4,GAT-853,9.01,260,"{""type"":""Polygon""}",Black Soil,Rainfed
854,429,986/3,GAT-854,4.16,343,"{""type"":""Polygon""}",Black Soil,Drip
855,429,753/3,GAT-855,3.95,343,"{""type"":""Polygon""}",Clay,Drip
856,430,348/3,GAT-856,5.02,99,"{""type"":""Polygon""}",Black Soil,Drip
857,431,477/1,GAT-857,3.43,26,"{""type"":""Polygon""}",Clay,Rainfed
858,432,632/3,GAT-858,3.21,161,"{""type"":""Polygon""}",Black Soil,Rainfed
859,432,850/3,GAT-859,9.2,161,"{""type"":""Polygon""}",Clay,Canal
860,433,509/4,GAT-860,8.96,213,"{""type"":""Polygon""}",Clay,Rainfed
861,433,446/1,GAT-861,4.69,213,"{""type"":""Polygon""}",Clay,Drip
862,433,946/3,GAT-862,3.93,213,"{""type"":""Polygon""}",Black Soil,Canal
863,434,548/2,GAT-863,0.81,294,"{""type"":""Polygon""}",Clay,Canal
864,434,229/2,GAT-864,4.0,294,"{""type"":""Polygon""}",Black Soil,Canal
865,434,781/2,GAT-865,2.57,294,"{""type"":""Polygon""}",Red Soil,Rainfed
866,435,53/2,GAT-866,7.59,53,"{""type"":""Polygon""}",Black Soil,Rainfed
867,435,437/1,GAT-867,8.37,53,"{""type"":""Polygon""}",Red Soil,Rainfed
868,435,144/3,GAT-868,4.65,53,"{""type"":""Polygon""}",Clay,Drip
869,436,207/4,GAT-869,6.3,300,"{""type"":""Polygon""}",Black Soil,Drip
870,436,513/2,GAT-870,6.15,300,"{""type"":""Polygon""}",Black Soil,Drip
871,436,66/5,GAT-871,2.23,300,"{""type"":""Polygon""}",Red Soil,Drip
872,437,184/1,GAT-872,1.12,208,"{""type"":""Polygon""}",Red Soil,Canal
873,437,315/3,GAT-873,6.75,208,"{""type"":""Polygon""}",Clay,Drip
874,438,134/4,GAT-874,4.01,306,"{""type"":""Polygon""}",Red Soil,Drip
875,438,597/5,GAT-875,9.53,306,"{""type"":""Polygon""}",Red Soil,Drip
876,438,138/3,GAT-876,3.58,306,"{""type"":""Polygon""}",Clay,Canal
877,439,63/5,GAT-877,2.87,425,"{""type"":""Polygon""}",Black Soil,Drip
878,440,541/3,GAT-878,1.99,76,"{""type"":""Polygon""}",Red Soil,Rainfed
879,440,47/1,GAT-879,1.22,76,"{""type"":""Polygon""}",Red Soil,Rainfed
880,441,182/1,GAT-880,6.66,14,"{""type"":""Polygon""}",Red Soil,Drip
881,442,479/1,GAT-881,7.39,273,"{""type"":""Polygon""}",Red Soil,Rainfed
882,442,663/5,GAT-882,2.38,273,"{""type"":""Polygon""}",Red Soil,Rainfed
883,443,145/5,GAT-883,4.85,191,"{""type"":""Polygon""}",Black Soil,Drip
884,443,95/4,GAT-884,4.56,191,"{""type"":""Polygon""}",Red Soil,Rainfed
885,444,506/5,GAT-885,7.9,69,"{""type"":""Polygon""}",Clay,Drip
886,444,859/5,GAT-886,7.71,69,"{""type"":""Polygon""}",Red Soil,Canal
887,445,933/2,GAT-887,9.15,279,"{""type"":""Polygon""}",Clay,Drip
888,445,303/2,GAT-888,1.89,279,"{""type"":""Polygon""}",Red Soil,Drip
889,446,650/1,GAT-889,2.92,78,"{""type"":""Polygon""}",Red Soil,Canal
890,446,746/1,GAT-890,0.94,78,"{""type"":""Polygon""}",Clay,Canal
891,446,982/3,GAT-891,3.32,78,"{""type"":""Polygon""}",Red Soil,Drip
892,447,556/3,GAT-892,2.74,408,"{""type"":""Polygon""}",Clay,Drip
893,447,797/4,GAT-893,4.62,408,"{""type"":""Polygon""}",Black Soil,Rainfed
894,447,837/4,GAT-894,6.35,408,"{""type"":""Polygon""}",Clay,Rainfed
895,448,845/4,GAT-895,1.28,258,"{""type"":""Polygon""}",Black Soil,Canal
896,448,993/1,GAT-896,9.81,258,"{""type"":""Polygon""}",Black Soil,Canal
897,449,415/5,GAT-897,6.39,255,"{""type"":""Polygon""}",Clay,Canal
898,449,30/4,GAT-898,4.78,255,"{""type"":""Polygon""}",Red Soil,Rainfed
899,450,411/5,GAT-899,1.53,385,"{""type"":""Polygon""}",Black Soil,Drip
900,450,236/1,GAT-900,0.91,385,"{""type"":""Polygon""}",Black Soil,Rainfed
901,450,306/3,GAT-901,8.1,385,"{""type"":""Polygon""}",Black Soil,Drip
902,451,656/2,GAT-902,9.47,217,"{""type"":""Polygon""}",Clay,Rainfed
903,451,887/1,GAT-903,3.61,217,"{""type"":""Polygon""}",Red Soil,Rainfed
904,452,684/2,GAT-904,4.17,124,"{""type"":""Polygon""}",Black Soil,Drip
905,452,908/1,GAT-905,5.79,124,"{""type"":""Polygon""}",Red Soil,Drip
906,452,843/4,GAT-906,6.13,124,"{""type"":""Polygon""}",Black Soil,Rainfed
907,453,417/2,GAT-907,0.69,428,"{""type"":""Polygon""}",Red Soil,Canal
908,453,582/5,GAT-908,6.86,428,"{""type"":""Polygon""}",Red Soil,Drip
909,454,714/3,GAT-909,2.99,172,"{""type"":""Polygon""}",Black Soil,Canal
910,454,749/3,GAT-910,4.22,172,"{""type"":""Polygon""}",Red Soil,Canal
911,454,567/4,GAT-911,3.65,172,"{""type"":""Polygon""}",Red Soil,Drip
912,455,534/1,GAT-912,7.47,344,"{""type"":""Polygon""}",Black Soil,Rainfed
913,456,294/4,GAT-913,1.26,123,"{""type"":""Polygon""}",Red Soil,Drip
914,457,716/5,GAT-914,6.65,36,"{""type"":""Polygon""}",Red Soil,Drip
915,458,903/5,GAT-915,2.96,387,"{""type"":""Polygon""}",Red Soil,Drip
916,458,223/4,GAT-916,6.9,387,"{""type"":""Polygon""}",Red Soil,Canal
917,458,596/5,GAT-917,4.38,387,"{""type"":""Polygon""}",Clay,Canal
918,459,205/3,GAT-918,4.54,217,"{""type"":""Polygon""}",Red Soil,Drip
919,460,302/3,GAT-919,4.53,399,"{""type"":""Polygon""}",Black Soil,Canal
920,461,723/3,GAT-920,2.96,89,"{""type"":""Polygon""}",Black Soil,Drip
921,461,960/4,GAT-921,4.98,89,"{""type"":""Polygon""}",Red Soil,Rainfed
922,461,263/3,GAT-922,9.81,89,"{""type"":""Polygon""}",Red Soil,Rainfed
923,462,79/5,GAT-923,8.09,477,"{""type"":""Polygon""}",Clay,Rainfed
924,463,348/1,GAT-924,4.77,301,"{""type"":""Polygon""}",Black Soil,Drip
925,463,474/2,GAT-925,3.85,301,"{""type"":""Polygon""}",Clay,Rainfed
926,464,167/4,GAT-926,6.25,434,"{""type"":""Polygon""}",Black Soil,Drip
927,464,82/3,GAT-927,0.81,434,"{""type"":""Polygon""}",Black Soil,Canal
928,465,753/2,GAT-928,2.74,146,"{""type"":""Polygon""}",Black Soil,Drip
929,465,719/3,GAT-929,7.12,146,"{""type"":""Polygon""}",Black Soil,Canal
930,466,560/3,GAT-930,7.16,25,"{""type"":""Polygon""}",Black Soil,Canal
931,466,660/5,GAT-931,3.87,25,"{""type"":""Polygon""}",Red Soil,Rainfed
932,467,318/1,GAT-932,5.49,208,"{""type"":""Polygon""}",Clay,Drip
933,467,10/5,GAT-933,1.65,208,"{""type"":""Polygon""}",Black Soil,Rainfed
934,468,172/1,GAT-934,9.63,222,"{""type"":""Polygon""}",Red Soil,Drip
935,468,537/4,GAT-935,2.99,222,"{""type"":""Polygon""}",Black Soil,Canal
936,469,232/3,GAT-936,4.03,123,"{""type"":""Polygon""}",Black Soil,Canal
937,469,718/2,GAT-937,2.3,123,"{""type"":""Polygon""}",Black Soil,Drip
938,469,148/5,GAT-938,8.97,123,"{""type"":""Polygon""}",Black Soil,Drip
939,470,185/3,GAT-939,5.45,339,"{""type"":""Polygon""}",Red Soil,Canal
940,471,687/2,GAT-940,4.23,209,"{""type"":""Polygon""}",Clay,Drip
941,471,864/2,GAT-941,1.96,209,"{""type"":""Polygon""}",Red Soil,Canal
942,472,807/2,GAT-942,4.42,172,"{""type"":""Polygon""}",Clay,Rainfed
943,472,88/1,GAT-943,9.45,172,"{""type"":""Polygon""}",Clay,Rainfed
944,473,458/1,GAT-944,6.81,114,"{""type"":""Polygon""}",Black Soil,Rainfed
945,473,905/2,GAT-945,1.35,114,"{""type"":""Polygon""}",Red Soil,Canal
946,473,149/5,GAT-946,8.66,114,"{""type"":""Polygon""}",Red Soil,Drip
947,474,82/2,GAT-947,4.92,353,"{""type"":""Polygon""}",Clay,Canal
948,474,416/4,GAT-948,4.28,353,"{""type"":""Polygon""}",Clay,Rainfed
949,475,213/4,GAT-949,5.83,44,"{""type"":""Polygon""}",Red Soil,Drip
950,475,460/2,GAT-950,4.56,44,"{""type"":""Polygon""}",Black Soil,Rainfed
951,475,742/5,GAT-951,5.1,44,"{""type"":""Polygon""}",Clay,Rainfed
952,476,704/3,GAT-952,1.2,99,"{""type"":""Polygon""}",Clay,Canal
953,477,395/5,GAT-953,1.68,258,"{""type"":""Polygon""}",Black Soil,Rainfed
954,477,878/5,GAT-954,6.21,258,"{""type"":""Polygon""}",Black Soil,Canal
955,478,977/1,GAT-955,6.05,100,"{""type"":""Polygon""}",Black Soil,Drip
956,479,420/1,GAT-956,9.38,415,"{""type"":""Polygon""}",Red Soil,Drip
957,479,265/3,GAT-957,4.79,415,"{""type"":""Polygon""}",Red Soil,Canal
958,480,318/1,GAT-958,9.25,479,"{""type"":""Polygon""}",Red Soil,Rainfed
959,480,687/5,GAT-959,8.04,479,"{""type"":""Polygon""}",Red Soil,Drip
960,480,27/3,GAT-960,3.13,479,"{""type"":""Polygon""}",Clay,Rainfed
961,481,911/4,GAT-961,6.03,73,"{""type"":""Polygon""}",Black Soil,Rainfed
962,481,838/1,GAT-962,1.18,73,"{""type"":""Polygon""}",Clay,Drip
963,482,971/1,GAT-963,2.67,66,"{""type"":""Polygon""}",Black Soil,Drip
964,483,891/5,GAT-964,5.69,297,"{""type"":""Polygon""}",Black Soil,Drip
965,484,393/4,GAT-965,4.79,58,"{""type"":""Polygon""}",Black Soil,Canal
966,484,944/1,GAT-966,7.63,58,"{""type"":""Polygon""}",Red Soil,Rainfed
967,484,232/3,GAT-967,3.19,58,"{""type"":""Polygon""}",Red Soil,Drip
968,485,68/2,GAT-968,9.52,114,"{""type"":""Polygon""}",Black Soil,Canal
969,485,201/4,GAT-969,6.15,114,"{""type"":""Polygon""}",Black Soil,Canal
970,485,399/3,GAT-970,4.88,114,"{""type"":""Polygon""}",Red Soil,Drip
971,486,656/5,GAT-971,9.93,88,"{""type"":""Polygon""}",Red Soil,Drip
972,486,499/1,GAT-972,5.85,88,"{""type"":""Polygon""}",Black Soil,Drip
973,487,421/4,GAT-973,0.61,365,"{""type"":""Polygon""}",Black Soil,Rainfed
974,487,799/4,GAT-974,1.34,365,"{""type"":""Polygon""}",Red Soil,Canal
975,488,667/5,GAT-975,8.88,225,"{""type"":""Polygon""}",Red Soil,Rainfed
976,488,227/4,GAT-976,8.38,225,"{""type"":""Polygon""}",Clay,Canal
977,489,894/3,GAT-977,9.95,47,"{""type"":""Polygon""}",Red Soil,Drip
978,490,257/3,GAT-978,8.19,327,"{""type"":""Polygon""}",Clay,Rainfed
979,491,68/4,GAT-979,5.45,59,"{""type"":""Polygon""}",Black Soil,Drip
980,492,60/1,GAT-980,9.99,2,"{""type"":""Polygon""}",Red Soil,Canal
981,493,33/5,GAT-981,9.28,44,"{""type"":""Polygon""}",Clay,Rainfed
982,494,160/5,GAT-982,2.75,443,"{""type"":""Polygon""}",Clay,Rainfed
983,494,227/2,GAT-983,3.77,443,"{""type"":""Polygon""}",Clay,Rainfed
984,495,395/2,GAT-984,7.13,273,"{""type"":""Polygon""}",Black Soil,Drip
985,495,169/3,GAT-985,4.35,273,"{""type"":""Polygon""}",Red Soil,Drip
986,496,764/1,GAT-986,0.66,105,"{""type"":""Polygon""}",Red Soil,Rainfed
987,497,303/2,GAT-987,0.51,192,"{""type"":""Polygon""}",Black Soil,Rainfed
988,498,911/5,GAT-988,1.33,143,"{""type"":""Polygon""}",Red Soil,Drip
989,498,840/1,GAT-989,2.62,143,"{""type"":""Polygon""}",Clay,Canal
990,498,517/4,GAT-990,5.84,143,"{""type"":""Polygon""}",Clay,Drip
991,499,371/5,GAT-991,7.29,12,"{""type"":""Polygon""}",Red Soil,Drip
992,499,513/2,GAT-992,1.47,12,"{""type"":""Polygon""}",Red Soil,Canal
993,499,205/1,GAT-993,9.83,12,"{""type"":""Polygon""}",Red Soil,Canal
994,500,335/5,GAT-994,2.81,95,"{""type"":""Polygon""}",Red Soil,Drip
995,500,303/2,GAT-995,4.8,95,"{""type"":""Polygon""}",Red Soil,Rainfed
996,501,930/5,GAT-996,4.31,61,"{""type"":""Polygon""}",Black Soil,Rainfed
997,501,94/4,GAT-997,2.49,61,"{""type"":""Polygon""}",Black Soil,Drip
998,501,662/4,GAT-998,4.01,61,"{""type"":""Polygon""}",Black Soil,Drip
999,502,567/5,GAT-999,6.68,265,"{""type"":""Polygon""}",Black Soil,Canal
1000,502,225/2,GAT-1000,4.42,265,"{""type"":""Polygon""}",Clay,Drip
1001,503,36/3,GAT-1001,0.51,278,"{""type"":""Polygon""}",Black Soil,Drip
1002,503,550/3,GAT-1002,4.84,278,"{""type"":""Polygon""}",Red Soil,Canal
1003,504,89/3,GAT-1003,1.89,206,"{""type"":""Polygon""}",Clay,Rainfed
1004,505,768/5,GAT-1004,2.73,248,"{""type"":""Polygon""}",Red Soil,Canal
1005,505,730/4,GAT-1005,3.55,248,"{""type"":""Polygon""}",Red Soil,Drip
1006,506,434/2,GAT-1006,4.11,442,"{""type"":""Polygon""}",Clay,Rainfed
1007,507,558/1,GAT-1007,5.54,185,"{""type"":""Polygon""}",Black Soil,Canal
1008,508,817/5,GAT-1008,2.22,423,"{""type"":""Polygon""}",Clay,Canal
1009,509,201/1,GAT-1009,4.75,326,"{""type"":""Polygon""}",Clay,Canal
1010,509,656/3,GAT-1010,7.37,326,"{""type"":""Polygon""}",Black Soil,Rainfed
1011,509,709/4,GAT-1011,5.81,326,"{""type"":""Polygon""}",Clay,Drip
1012,510,473/2,GAT-1012,4.5,281,"{""type"":""Polygon""}",Red Soil,Rainfed
1013,510,613/2,GAT-1013,5.37,281,"{""type"":""Polygon""}",Clay,Rainfed
